model,metric,mean,median,std_dev,min,max,count
mmt,Overall Rating,1.50,1.50,0.50,1,2,4
mmt,Consistency,3.25,3.00,1.30,2,5,4
mmt,Richness,2.00,2.00,0.71,1,3,4
mmt,Coherence,1.75,1.50,0.83,1,3,4
mmtdelay,Overall Rating,3.75,3.50,0.83,3,5,4
mmtdelay,Consistency,4.00,4.50,1.22,2,5,4
mmtdelay,Richness,4.00,4.50,1.22,2,5,4
mmtdelay,Coherence,4.25,4.50,0.83,3,5,4
nmt,Overall Rating,3.50,3.50,1.50,2,5,4
nmt,Consistency,3.00,3.00,2.00,1,5,4
nmt,Richness,4.50,4.50,0.50,4,5,4
nmt,Coherence,4.75,5.00,0.43,4,5,4
remiplus,Overall Rating,4.00,4.50,1.22,2,5,4
remiplus,Consistency,3.75,4.50,1.64,1,5,4
remiplus,Richness,4.50,4.50,0.50,4,5,4
remiplus,Coherence,3.50,3.50,1.50,2,5,4
